Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
1116.91,13.62,9.23,-26.5
1119.17,13.43,9.23,-26.7
1121.6,13.23,9.23,-26.89
1124.09,13.03,9.23,-27.09
1126.49,12.84,9.23,-27.29
1128.81,12.68,9.23,-27.48
1131.03,12.54,9.23,-27.64
1132.92,12.44,9.23,-27.78
1136.89,12.24,9.23,-27.88
1140.1,12.04,9.23,-28.08
1143.26,11.83,9.23,-28.28
1146.44,11.65,9.23,-28.49
1149.71,11.42,9.23,-28.67
1153.01,11.19,9.23,-28.9
1156.63,10.91,9.23,-29.13
1158.44,10.79,9.23,-29.41
1160.34,10.69,9.23,-29.53
1162.3,10.6,9.23,-29.63
1164.34,10.51,9.23,-29.72
1166.25,10.41,9.23,-29.81
1169.88,10.2,9.23,-29.91
1171.38,10.12,9.23,-30.12
1172.59,10.05,9.23,-30.2
1173.71,10.02,9.23,-30.27
1177.04,9.82,9.23,-30.3
1178.75,9.68,9.23,-30.5
1181.99,9.4,9.23,-30.64
1184.15,9.19,9.23,-30.92
1186.38,8.99,9.23,-31.13
1188.76,8.77,9.23,-31.33
1191.14,8.54,9.23,-31.55
1193.46,8.35,9.23,-31.78
1195.76,8.18,9.23,-31.97
1197.85,8.02,9.23,-32.14
1199.95,7.85,9.23,-32.3
1201.84,7.7,9.23,-32.47
1203.8,7.54,9.23,-32.62
1205.64,7.39,9.23,-32.78
1207.55,7.23,9.23,-32.93
1209.34,7.08,9.23,-33.09
1211.18,6.92,9.23,-33.24
1215.37,6.54,9.23,-33.4
1219.1,6.19,9.23,-33.78
1221.22,6.07,9.23,-34.13
1223.86,5.95,9.23,-34.25
1226.95,5.87,9.23,-34.37
1230.62,5.82,9.23,-34.45
1234.52,5.82,9.23,-34.5
1238.48,5.85,9.23,-34.5
1242.38,5.91,9.26,-34.5
1246.08,5.98,9.32,-34.5
1249.62,6.04,9.39,-34.5
1253.01,6.08,9.45,-34.5
1256.44,6.12,9.49,-34.5
1259.69,6.16,9.53,-34.5
1262.99,6.21,9.57,-34.5
1266.19,6.26,9.62,-34.5
1269.4,6.31,9.67,-34.5
1272.57,6.37,9.72,-34.5
1275.73,6.43,9.78,-34.5
1278.9,6.5,9.84,-34.5
1282.02,6.5600000000000005,9.91,-34.5
1285.09,6.65,9.97,-34.5
1288.11,6.76,10.06,-34.5
1291.13,6.88,10.17,-34.5
1294.15,7.0,10.29,-34.5
1297.17,7.14,10.41,-34.5
1300.2,7.25,10.55,-34.5
1303.23,7.37,10.66,-34.5
1306.35,7.5,10.78,-34.5
1309.43,7.65,10.91,-34.5
1312.44,7.75,11.06,-34.5
1315.41,7.82,11.16,-34.5
1318.34,7.83,11.23,-34.5
1321.35,7.83,11.24,-34.5
1324.14,7.83,11.24,-34.5
1327.0,7.8100000000000005,11.24,-34.5
1329.98,7.76,11.24,-34.52
1332.93,7.74,11.24,-34.57
1335.72,7.74,11.24,-34.59
1338.55,7.77,11.24,-34.59
1341.37,7.84,11.27,-34.59
1343.8,7.92,11.34,-34.59
1346.24,8.0,11.42,-34.59
1348.71,8.07,11.5,-34.59
1351.28,8.12,11.57,-34.59
1353.93,8.18,11.62,-34.59
1356.63,8.24,11.68,-34.59
1359.65,8.3,11.74,-34.59
1362.76,8.33,11.8,-34.59
1366.02,8.35,11.83,-34.59
1369.25,8.37,11.85,-34.59
1372.44,8.37,11.87,-34.59
1375.73,8.38,11.87,-34.59
1379.01,8.39,11.88,-34.59
1382.24,8.41,11.89,-34.59
1385.31,8.45,11.91,-34.59
1388.33,8.49,11.95,-34.59
1391.46,8.53,11.99,-34.59
1394.61,8.54,12.03,-34.59
1397.9,8.57,12.04,-34.59
1405.4,8.64,12.07,-34.59
1412.71,8.77,12.14,-34.59
1420.46,8.83,12.27,-34.59
1427.51,8.79,12.33,-34.59
1430.58,8.8,12.33,-34.63
1437.34,8.83,12.34,-34.63
1440.41,8.86,12.37,-34.63
1443.5,8.87,12.4,-34.63
1446.7,8.82,12.41,-34.63
1450.05,8.73,12.41,-34.68
1453.46,8.44,12.41,-34.77
1456.8,8.15,12.41,-35.06
1460.03,7.88,12.41,-35.35
1463.07,7.63,12.41,-35.62
1465.72,7.42,12.41,-35.87
1468.1,7.24,12.41,-36.08
1470.43,7.06,12.41,-36.26
1472.94,6.87,12.41,-36.44
1475.73,6.67,12.41,-36.63
1478.67,6.45,12.41,-36.83
1481.9,6.21,12.41,-37.05
1485.24,5.97,12.41,-37.29
1488.57,5.74,12.41,-37.53
1492.27,5.48,12.41,-37.76
1495.27,5.28,12.41,-38.02
1498.74,5.05,12.41,-38.22
1502.11,4.84,12.41,-38.45
1505.37,4.64,12.41,-38.66
1508.51,4.45,12.41,-38.86
1511.7,4.26,12.41,-39.05
1514.99,4.06,12.41,-39.24
1518.36,3.86,12.41,-39.44
1521.75,3.67,12.41,-39.64
1525.15,3.49,12.41,-39.83
1528.51,3.41,12.41,-40.01
1531.86,3.34,12.41,-40.09
1535.15,3.29,12.41,-40.16
1538.43,3.25,12.41,-40.21
1541.66,3.21,12.41,-40.25
1544.89,3.18,12.41,-40.29
1548.24,3.14,12.41,-40.32
1551.21,3.1,12.41,-40.36
1554.5,3.05,12.41,-40.4
1557.83,2.99,12.41,-40.45
1561.16,2.93,12.41,-40.51
1564.51,2.88,12.41,-40.57
1568.01,2.83,12.41,-40.62
1571.33,2.79,12.41,-40.67
1574.32,2.75,12.41,-40.71
1577.25,2.73,12.41,-40.75
1580.83,2.7,12.41,-40.77
1584.47,2.68,12.41,-40.8
1588.34,2.65,12.41,-40.82
1592.27,2.62,12.41,-40.85
1596.18,2.61,12.41,-40.88
1600.0,2.6,12.41,-40.89
1603.57,2.65,12.41,-40.9
1607.1,2.7,12.46,-40.9
1610.53,2.74,12.51,-40.9
1613.78,2.79,12.55,-40.9
1617.08,2.85,12.6,-40.9
1620.47,2.9,12.66,-40.9
1623.72,2.94,12.71,-40.9
1627.1,2.9699999999999998,12.75,-40.9
1630.31,3.0,12.78,-40.9
1633.56,3.03,12.81,-40.9
1636.82,3.04,12.84,-40.9
1640.09,3.06,12.85,-40.9
1643.41,3.06,12.87,-40.9
1646.73,3.07,12.87,-40.9
1650.1,3.07,12.88,-40.9
1653.44,3.09,12.88,-40.9
1656.79,3.11,12.9,-40.9
1660.17,3.12,12.92,-40.9
1664.36,3.13,12.93,-40.9
1666.64,3.14,12.94,-40.9
1670.36,3.15,12.95,-40.9
1674.13,3.15,12.96,-40.9
1677.83,3.14,12.96,-40.9
1681.32,3.12,12.96,-40.91
1684.75,3.09,12.96,-40.93
1688.62,3.06,12.96,-40.96
1691.61,3.05,12.96,-40.99
1694.44,3.05,12.96,-41.0
1696.9,3.06,12.96,-41.0
1700.15,3.08,12.97,-41.0
1703.26,3.09,12.99,-41.0
1706.28,3.09,13.0,-41.0
1709.15,3.08,13.0,-41.0
1711.94,3.07,13.0,-41.01
1714.97,3.06,13.0,-41.02
1718.1,3.04,13.0,-41.03
1721.22,3.02,13.0,-41.05
1724.55,2.99,13.0,-41.07
1727.84,2.96,13.0,-41.1
1731.02,2.92,13.0,-41.13
1734.29,2.9,13.0,-41.17
1737.35,2.88,13.0,-41.19
1740.37,2.93,13.0,-41.21
1743.2,3.0,13.05,-41.21
1746.27,3.04,13.12,-41.21
1748.98,3.07,13.16,-41.21
1751.84,3.09,13.19,-41.21
1754.69,3.1,13.21,-41.21
1757.64,3.12,13.22,-41.21
1760.6,3.13,13.24,-41.21
1763.93,3.13,13.25,-41.21
1767.45,3.13,13.25,-41.21
1771.1,3.13,13.25,-41.21
1774.91,3.13,13.25,-41.21
1778.55,3.13,13.25,-41.21
1782.14,3.12,13.25,-41.21
1785.37,3.12,13.25,-41.22
1788.49,3.11,13.25,-41.22
1791.66,3.1,13.25,-41.23
1794.78,3.08,13.25,-41.24
1798.04,3.06,13.25,-41.26
1801.43,3.03,13.25,-41.28
1804.76,3.0,13.25,-41.31
1808.08,2.9699999999999998,13.25,-41.34
1811.29,2.94,13.25,-41.37
1814.45,2.9,13.25,-41.4
1817.79,2.85,13.25,-41.44
1820.01,2.8200000000000003,13.25,-41.49
1823.08,2.77,13.25,-41.52
1826.0,2.7199999999999998,13.25,-41.57
1829.02,2.67,13.25,-41.62
1832.04,2.61,13.25,-41.67
1835.67,2.54,13.25,-41.73
1839.33,2.46,13.25,-41.8
1842.93,2.47,13.25,-41.88
1846.47,2.54,13.26,-41.88
1849.87,2.6,13.33,-41.88
1853.14,2.66,13.39,-41.88
1856.36,2.71,13.45,-41.88
1859.55,2.77,13.5,-41.88
1862.67,2.8200000000000003,13.56,-41.88
1865.83,2.87,13.61,-41.88
1868.78,2.93,13.66,-41.88
1872.5,3.0,13.72,-41.88
1876.2,3.11,13.79,-41.88
1878.85,3.2,13.9,-41.88
1882.0,3.32,13.99,-41.88
1885.46,3.45,14.11,-41.88
1888.88,3.59,14.24,-41.88
1891.87,3.7,14.38,-41.88
1894.78,3.8,14.49,-41.88
1897.34,3.85,14.59,-41.88
1900.08,3.87,14.64,-41.88
1903.12,3.88,14.66,-41.88
1906.12,3.88,14.67,-41.88
1909.21,3.88,14.67,-41.88
1912.39,3.88,14.67,-41.88
1915.54,3.89,14.67,-41.88
1918.75,3.9,14.68,-41.88
1922.01,3.92,14.69,-41.88
1925.37,3.96,14.71,-41.88
1929.35,4.0,14.75,-41.88
1933.31,4.05,14.79,-41.88
1937.35,4.1,14.84,-41.88
1941.39,4.14,14.89,-41.88
1944.98,4.18,14.93,-41.88
1948.52,4.08,14.97,-41.88
1951.92,3.94,14.97,-41.98
1955.08,3.81,14.97,-42.12
1958.08,3.71,14.97,-42.25
1961.08,3.6,14.97,-42.35
1963.86,3.51,14.97,-42.46
1966.67,3.4,14.97,-42.55
1969.31,3.3,14.97,-42.66
1972.11,3.18,14.97,-42.76
1974.89,3.1,14.97,-42.88
1977.72,3.09,14.97,-42.96
1980.63,3.04,14.97,-42.97
1983.75,2.9699999999999998,14.97,-43.02
1986.86,2.87,14.97,-43.09
1990.2,2.76,14.97,-43.19
1993.31,2.67,14.97,-43.3
1996.44,2.6,14.97,-43.39
1999.69,2.54,14.97,-43.46
2002.7,2.48,14.97,-43.52
2005.71,2.4,14.97,-43.58
2008.83,2.32,14.97,-43.66
2011.84,2.25,14.97,-43.74
2014.85,2.17,14.97,-43.81
2017.76,2.1,14.97,-43.89
2020.77,2.02,14.97,-43.96
2023.78,1.9300000000000002,14.97,-44.04
2026.89,1.83,14.97,-44.13
2030.12,1.74,14.97,-44.23
2033.47,1.6400000000000001,14.97,-44.32
2036.92,1.54,14.97,-44.42
2040.38,1.48,14.97,-44.52
2043.96,1.5,14.97,-44.58
2047.54,1.52,14.99,-44.58
2051.12,1.54,15.01,-44.58
2054.58,1.56,15.03,-44.58
2058.04,1.56,15.05,-44.58
2061.27,1.57,15.05,-44.58
2064.28,1.57,15.06,-44.58
2066.84,1.57,15.06,-44.58
2069.54,1.5899999999999999,15.06,-44.58
2072.25,1.6099999999999999,15.08,-44.58
2075.19,1.62,15.1,-44.58
2078.32,1.63,15.11,-44.58
2081.8,1.6400000000000001,15.12,-44.58
2085.52,1.65,15.13,-44.58
2089.35,1.6600000000000001,15.14,-44.58
2093.3,1.6600000000000001,15.15,-44.58
2097.17,1.6800000000000002,15.15,-44.58
2100.95,1.69,15.17,-44.58
2104.45,1.71,15.18,-44.58
2107.99,1.73,15.2,-44.58
2111.45,1.75,15.22,-44.58
2114.81,1.77,15.24,-44.58
2118.27,1.78,15.26,-44.58
2121.66,1.79,15.27,-44.58
2125.02,1.8,15.28,-44.58
2128.42,1.81,15.29,-44.58
2131.76,1.81,15.3,-44.58
2135.06,1.82,15.3,-44.58
2138.35,1.8599999999999999,15.31,-44.58
2141.6,1.92,15.35,-44.58
2144.85,1.97,15.41,-44.58
2148.24,2.02,15.46,-44.58
2151.67,2.06,15.51,-44.58
2155.2,2.11,15.55,-44.58
2158.63,2.15,15.6,-44.58
2162.02,2.18,15.64,-44.58
2165.55,2.21,15.67,-44.58
2169.13,2.24,15.7,-44.58
2172.8,2.26,15.73,-44.58
2176.38,2.2800000000000002,15.75,-44.58
2180.16,2.29,15.77,-44.58
2183.89,2.3,15.78,-44.58
2187.67,2.31,15.79,-44.58
2191.4,2.31,15.8,-44.58
2195.08,2.31,15.8,-44.58
2198.62,2.31,15.8,-44.58
2202.0,2.3,15.8,-44.58
2205.3,2.3,15.8,-44.59
2208.69,2.29,15.8,-44.59
2212.09,2.27,15.8,-44.6
2215.34,2.25,15.8,-44.62
2218.7,2.23,15.8,-44.64
2222.09,2.3,15.8,-44.66
2225.48,2.37,15.87,-44.66
2228.74,2.45,15.94,-44.66
2232.09,2.54,16.02,-44.66
2235.29,2.63,16.11,-44.66
2238.78,2.7199999999999998,16.2,-44.66
2242.22,2.8,16.29,-44.66
2245.86,2.99,16.37,-44.66
2249.46,3.19,16.56,-44.66
2253.17,3.38,16.76,-44.66
2256.93,3.5700000000000003,16.95,-44.66
2260.6,3.74,17.14,-44.66
2264.4,3.92,17.31,-44.66
2268.04,4.1,17.49,-44.66
2271.58,4.27,17.67,-44.66
2275.07,4.43,17.84,-44.66
2278.46,4.59,18.0,-44.66
2281.81,4.75,18.16,-44.66
2285.2,4.91,18.32,-44.66
2288.54,5.05,18.48,-44.66
2291.75,5.19,18.62,-44.66
2294.72,5.31,18.76,-44.66
2297.74,5.43,18.88,-44.66
2300.71,5.54,19.0,-44.66
2303.78,5.65,19.11,-44.66
2307.11,5.76,19.22,-44.66
2309.64,5.82,19.33,-44.66
2312.57,5.87,19.39,-44.66
2315.46,5.91,19.44,-44.66
2318.05,5.92,19.48,-44.66
2320.01,5.93,19.49,-44.66
2323.55,5.94,19.5,-44.66
2326.44,5.92,19.51,-44.66
2329.51,5.9,19.51,-44.68
2332.32,5.9,19.51,-44.7
2334.98,5.89,19.51,-44.7
2337.53,5.91,19.51,-44.71
2340.53,5.96,19.53,-44.71
2344.11,6.02,19.58,-44.71
2346.05,6.01,19.64,-44.71
2350.29,5.77,19.64,-44.72
2352.06,5.68,19.64,-44.96
2353.83,5.58,19.64,-45.05
2357.8,5.38,19.64,-45.15
2360.92,5.22,19.64,-45.35
2363.81,5.08,19.64,-45.51
2366.52,4.97,19.64,-45.65
2369.36,4.86,19.64,-45.76
2372.16,4.74,19.64,-45.87
2375.09,4.62,19.64,-45.99
2378.35,4.48,19.64,-46.11
2381.48,4.37,19.64,-46.25
2384.71,4.23,19.64,-46.36
2388.02,4.09,19.64,-46.5
2391.34,3.94,19.64,-46.64
2394.69,3.7800000000000002,19.64,-46.79
2398.08,3.6,19.64,-46.95
2401.39,3.41,19.64,-47.13
2404.62,3.21,19.64,-47.32
2407.75,3.02,19.64,-47.52
2410.91,2.8200000000000003,19.64,-47.71
2413.91,2.64,19.64,-47.91
2417.0,2.46,19.64,-48.09
2420.07,2.3,19.64,-48.27
2423.05,2.15,19.64,-48.43
2425.94,2.0,19.64,-48.58
2428.86,1.8399999999999999,19.64,-48.73
2431.75,1.7000000000000002,19.64,-48.89
2434.61,1.57,19.64,-49.03
